capacity_gib,concurrency,baseline,task_id,capacity_blocks,n_accesses,elapsed_s,global_block_hit_rate,global_p95_ttft_ms,global_throughput,migrate_ms_total,restore_ms_total,migrate_count,restore_count,fallback_count,n_tasks,task_miss_cost_ms,task_saved_prefill_ms,task_p95_ttft_ms,task_p50_ttft_ms,task_hits,task_misses,task_block_hit_rate,task_n_requests
1,4,gdsf,retail-94,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,6419478.96784544,6605843.578620814,123601.13672912121,3935.509018599987,35236,16868,0.6762628588975894,154
1,4,gdsf,airline-46,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,216615.37753418088,2275621.124636382,4711.222006008029,1020.6181854009628,28009,2713,0.9116919471388581,135
1,4,gdsf,retail-38,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,374005.44600281864,3456807.274144143,9454.415738582611,834.576353430748,43279,4200,0.9115398386655152,190
1,4,gdsf,airline-49,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,45692.50220712274,344770.22261731327,2083.02847109735,606.8740040063858,6479,832,0.8861988784024073,48
1,4,gdsf,retail-76,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,2517840.50718043,6149831.311534159,60336.91230416298,3019.3507969379425,52841,17153,0.7549361373832043,209
1,4,gdsf,retail-107,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,1647259.4503602013,4082258.2553057,63957.601252011955,1466.9921472668648,36735,11168,0.7668622006972423,166
1,4,gdsf,retail-0,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,1038312.7954043448,3311469.7342235595,31518.386006355286,1326.69997215271,34178,8899,0.7934164403277851,154
1,4,gdsf,airline-37,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,126920.68528849632,1112455.1389189437,5411.964467726648,960.4120254516602,14238,1675,0.8947401495632502,81
1,4,gdsf,retail-90,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,622067.2887945548,2987021.2558144704,18797.77440428734,1241.4947040379047,27559,5033,0.8455756013745704,126
1,4,gdsf,retail-98,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,4086791.7653657496,4035321.6752791777,117965.2466904372,2419.3623354658484,27777,14090,0.6634580934865169,126
1,4,gdsf,airline-28,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,3731129.4167581946,7506376.731187105,53396.27310633659,3474.4301792234182,29952,11643,0.7200865488640461,122
